"station","hour","inventory"
"10",0,9
"10",1,9
"10",2,9
"10",3,17
"10",4,39
"10",5,89
"10",6,107
"10",7,109
"10",8,125
"10",9,180
"10",10,173
"10",11,166
"10",12,211
"10",13,221
"10",14,254
"10",15,262
"10",16,311
"10",17,364
"10",18,403
"10",19,390
"10",20,387
"10",21,396
"10",22,396
"10",23,396
"11",0,7
"11",1,7
"11",2,7
"11",3,7
"11",4,46
"11",5,4
"11",6,0
"11",7,0
"11",8,66
"11",9,103
"11",10,141
"11",11,150
"11",12,104
"11",13,82
"11",14,0
"11",15,29
"11",16,95
"11",17,0
"11",18,34
"11",19,40
"11",20,40
"11",21,42
"11",22,42
"11",23,42
"12",0,0
"12",1,0
"12",2,9
"12",3,10
"12",4,32
"12",5,45
"12",6,83
"12",7,201
"12",8,215
"12",9,264
"12",10,282
"12",11,319
"12",12,318
"12",13,337
"12",14,442
"12",15,457
"12",16,541
"12",17,607
"12",18,650
"12",19,643
"12",20,651
"12",21,649
"12",22,646
"12",23,642
"13",0,16
"13",1,16
"13",2,16
"13",3,16
"13",4,36
"13",5,72
"13",6,62
"13",7,0
"13",8,0
"13",9,41
"13",10,81
"13",11,108
"13",12,147
"13",13,169
"13",14,0
"13",15,0
"13",16,73
"13",17,97
"13",18,123
"13",19,126
"13",20,126
"13",21,126
"13",22,126
"13",23,126
"14",0,0
"14",1,0
"14",2,0
"14",3,0
"14",4,0
"14",5,0
"14",6,0
"14",7,0
"14",8,0
"14",9,0
"14",10,0
"14",11,0
"14",12,0
"14",13,0
"14",14,0
"14",15,0
"14",16,0
"14",17,0
"14",18,0
"14",19,0
"14",20,0
"14",21,0
"14",22,0
"14",23,0
"15",0,0
"15",1,0
"15",2,0
"15",3,0
"15",4,0
"15",5,0
"15",6,0
"15",7,0
"15",8,0
"15",9,0
"15",10,0
"15",11,0
"15",12,0
"15",13,0
"15",14,0
"15",15,0
"15",16,0
"15",17,0
"15",18,0
"15",19,0
"15",20,0
"15",21,0
"15",22,0
"15",23,0
"16",0,0
"16",1,0
"16",2,0
"16",3,0
"16",4,4
"16",5,100
"16",6,127
"16",7,240
"16",8,326
"16",9,381
"16",10,421
"16",11,458
"16",12,534
"16",13,574
"16",14,694
"16",15,716
"16",16,783
"16",17,929
"16",18,1007
"16",19,1028
"16",20,1033
"16",21,1040
"16",22,1038
"16",23,1038
"17",0,0
"17",1,0
"17",2,0
"17",3,0
"17",4,0
"17",5,0
"17",6,75
"17",7,198
"17",8,306
"17",9,90
"17",10,64
"17",11,0
"17",12,57
"17",13,121
"17",14,250
"17",15,290
