"station","min_inventory","max_inventory","status"
"10",8,316,"remove_bikes"
"11",0,101,"needs_bikes"
"12",0,350,"needs_bikes"
"13",0,91,"needs_bikes"
"14",0,9,"needs_bikes"
"15",0,0,"needs_bikes"
"16",0,513,"needs_bikes"
"17",0,157,"needs_bikes"
"18",0,499,"needs_bikes"
"19",0,0,"needs_bikes"
"2",0,0,"needs_bikes"
"20",0,0,"needs_bikes"
"21",0,60,"needs_bikes"
"22",0,629,"needs_bikes"
"23",0,328,"needs_bikes"
"24",0,1,"needs_bikes"
"4",0,390,"needs_bikes"
"5",0,465,"needs_bikes"
"6",0,238,"needs_bikes"
"7",0,67,"needs_bikes"
"8",0,269,"needs_bikes"
"9",0,25,"needs_bikes"
